sgbid	sgbname	tax_k	tax_p	tax_c	tax_o	tax_f	tax_g	tax_s	terminal_sgb	is_human_pathogen	assigned_pathogen_name	assigned_pathogen_taxid
45	SGB45	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259E19	t__SGB45	no	NA	NA
46	SGB46	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259O05	t__SGB46	no	NA	NA
47	SGB47	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259A05	t__SGB47	no	NA	NA
48	SGB48	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259D18	t__SGB48	no	NA	NA
49	SGB49	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382A03	t__SGB49	no	NA	NA
50	SGB50	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382A13	t__SGB50	no	NA	NA
51	SGB51	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382A20	t__SGB51	no	NA	NA
52	SGB52	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382C18	t__SGB52	no	NA	NA
53	SGB53	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382K21	t__SGB53	no	NA	NA
54	SGB54	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382M17	t__SGB54	no	NA	NA
55	SGB55	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382F02	t__SGB55	no	NA	NA
56	SGB56	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA382N08	t__SGB56	no	NA	NA
57	SGB57	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG11_big_fil_rev_8_21_14_0_20_47_5	t__SGB57	no	NA	NA
58	SGB58	k__Archaea	p__Candidatus_Diapherotrites	c__Candidatus_Diapherotrites_unclassified	o__Candidatus_Diapherotrites_unclassified	f__Candidatus_Diapherotrites_unclassified	g__Candidatus_Diapherotrites_unclassified	s__Candidatus_Diapherotrites_archaeon_CG08_land_8_20_14_0_20_34_12	t__SGB58	no	NA	NA
59	SGB59	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG06_land_8_20_14_3_00_50_6	t__SGB59	no	NA	NA
60	SGB60	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG1_02_55_22	t__SGB60	no	NA	NA
61	SGB61	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG08_land_8_20_14_0_20_59_11	t__SGB61	no	NA	NA
62	SGB62	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_59_7	t__SGB62	no	NA	NA
63	SGB63	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG1_02_60_51	t__SGB63	no	NA	NA
64	SGB64	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_54_18	t__SGB64	no	NA	NA
65	SGB65	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG1_02_51_15	t__SGB65	no	NA	NA
66	SGB66	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_45_29	t__SGB66	no	NA	NA
67	SGB67	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobia_unclassified	f__Methanomicrobia_unclassified	g__Methanomicrobia_unclassified	s__Arc_I_group_archaeon_ADurb1213_Bin02801	t__SGB67	no	NA	NA
68	SGB68	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobia_unclassified	f__Methanomicrobia_unclassified	g__Methanomicrobia_unclassified	s__Arc_I_group_archaeon_B03fssc0709_Meth_Bin005	t__SGB68	no	NA	NA
69	SGB69	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobia_unclassified	f__Methanomicrobia_unclassified	g__Methanomicrobia_unclassified	s__Arc_I_group_archaeon_U1lsi0528_Bin055	t__SGB69	no	NA	NA
70	SGB70	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobia_unclassified	f__Methanomicrobia_unclassified	g__Methanomicrobia_unclassified	s__Arc_I_group_archaeon_U1lsi0528_Bin089	t__SGB70	no	NA	NA
71	SGB71	k__Archaea	p__Candidatus_Aenigmarchaeota	c__Candidatus_Aenigmarchaeota_unclassified	o__Candidatus_Aenigmarchaeota_unclassified	f__Candidatus_Aenigmarchaeota_unclassified	g__Candidatus_Aenigmarchaeota_unclassified	s__Candidatus_Aenigmarchaeota_archaeon_CG_4_10_14_0_8_um_filter_37_24	t__SGB71	no	NA	NA
72	SGB72	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_RBG_16_49_10	t__SGB72	no	NA	NA
75	SGB75	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetia_unclassified	f__Leptospiraceae	g__Leptospiraceae_bacterium_unclassified	s__Leptospiraceae_bacterium	t__SGB75	no	NA	NA
76	SGB76	k__Archaea	p__Euryarchaeota	c__Theionarchaea	o__Theionarchaea_unclassified	f__Theionarchaea_unclassified	g__Theionarchaea_unclassified	s__Theionarchaea_archaeon_DG_70	t__SGB76	no	NA	NA
77	SGB77	k__Archaea	p__Euryarchaeota	c__Theionarchaea	o__Theionarchaea_unclassified	f__Theionarchaea_unclassified	g__Theionarchaea_unclassified	s__Theionarchaea_archaeon_DG_70_1	t__SGB77	no	NA	NA
78	SGB78	k__Archaea	p__Candidatus_Thorarchaeota	c__Candidatus_Thorarchaeota_unclassified	o__Candidatus_Thorarchaeota_unclassified	f__Candidatus_Thorarchaeota_unclassified	g__Candidatus_Thorarchaeota_unclassified	s__Candidatus_Thorarchaeota_archaeon_SMTZ_45	t__SGB78	no	NA	NA
79	SGB79	k__Archaea	p__Candidatus_Thorarchaeota	c__Candidatus_Thorarchaeota_unclassified	o__Candidatus_Thorarchaeota_unclassified	f__Candidatus_Thorarchaeota_unclassified	g__Candidatus_Thorarchaeota_unclassified	s__Candidatus_Thorarchaeota_archaeon_AB_25	t__SGB79	no	NA	NA
80	SGB80	k__Archaea	p__Candidatus_Thorarchaeota	c__Candidatus_Thorarchaeota_unclassified	o__Candidatus_Thorarchaeota_unclassified	f__Candidatus_Thorarchaeota_unclassified	g__Candidatus_Thorarchaeota_unclassified	s__Candidatus_Thorarchaeota_archaeon_SMTZ1_83	t__SGB80	no	NA	NA
81	SGB81	k__Archaea	p__Crenarchaeota	c__Crenarchaeota_unclassified	o__Crenarchaeota_unclassified	f__Crenarchaeota_unclassified	g__Crenarchaeota_unclassified	s__Crenarchaeota_archaeon_13_1_40CM_2_52_14	t__SGB81	no	NA	NA
82	SGB82	k__Archaea	p__Crenarchaeota	c__Crenarchaeota_unclassified	o__Crenarchaeota_unclassified	f__Crenarchaeota_unclassified	g__Crenarchaeota_unclassified	s__Crenarchaeota_archaeon_13_1_40CM_3_52_10	t__SGB82	no	NA	NA
83	SGB83	k__Archaea	p__Crenarchaeota	c__Crenarchaeota_unclassified	o__Crenarchaeota_unclassified	f__Crenarchaeota_unclassified	g__Crenarchaeota_unclassified	s__Crenarchaeota_archaeon_13_1_20CM_2_51_8	t__SGB83	no	NA	NA
84	SGB84	k__Archaea	p__Crenarchaeota	c__Crenarchaeota_unclassified	o__Crenarchaeota_unclassified	f__Crenarchaeota_unclassified	g__Crenarchaeota_unclassified	s__Crenarchaeota_archaeon_13_1_40CM_3_53_5	t__SGB84	no	NA	NA
85	SGB85	k__Archaea	p__Crenarchaeota	c__Crenarchaeota_unclassified	o__Crenarchaeota_unclassified	f__Crenarchaeota_unclassified	g__Crenarchaeota_unclassified	s__Crenarchaeota_archaeon_13_1_20CM_2_53_14	t__SGB85	no	NA	NA
87	SGB87	k__Archaea	p__Crenarchaeota	c__Crenarchaeota_unclassified	o__Crenarchaeota_unclassified	f__Crenarchaeota_unclassified	g__Crenarchaeota_unclassified	s__Crenarchaeota_archaeon_13_1_40CM_3_52_4	t__SGB87	no	NA	NA
88	SGB88	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA385M02	t__SGB88	no	NA	NA
89	SGB89	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Myxococcales_unclassified	g__Myxococcales_unclassified	s__Myxococcales_bacterium	t__SGB89	no	NA	NA
90	SGB90	k__Bacteria	p__Chloroflexi	c__Chloroflexi_unclassified	o__Chloroflexi_unclassified	f__Chloroflexi_unclassified	g__Chloroflexi_unclassified	s__Chloroflexi_bacterium	t__SGB90	no	NA	NA
91	SGB91	k__Bacteria	p__Chloroflexi	c__Chloroflexi_unclassified	o__Chloroflexi_unclassified	f__Chloroflexi_unclassified	g__Chloroflexi_unclassified	s__Chloroflexi_bacterium	t__SGB91	no	NA	NA
92	SGB92	k__Bacteria	p__Chloroflexi	c__Chloroflexi_unclassified	o__Chloroflexi_unclassified	f__Chloroflexi_unclassified	g__Chloroflexi_unclassified	s__Chloroflexi_bacterium	t__SGB92	no	NA	NA
93	SGB93	k__Bacteria	p__Chloroflexi	c__Chloroflexi_unclassified	o__Chloroflexi_unclassified	f__Chloroflexi_unclassified	g__Chloroflexi_unclassified	s__Chloroflexi_bacterium	t__SGB93	no	NA	NA
98	SGB98	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__candidate_division_WS6_bacterium_GW2011_GWF2_39_15	t__SGB98	no	NA	NA
110	SGB110	k__Bacteria	p__candidate_division_WWE3	c__candidate_division_WWE3_unclassified	o__candidate_division_WWE3_unclassified	f__candidate_division_WWE3_unclassified	g__candidate_division_WWE3_unclassified	s__candidate_division_WWE3_bacterium_RIFCSPLOWO2_01_FULL_37_24	t__SGB110	no	NA	NA
111	SGB111	k__Bacteria	p__candidate_division_WWE3	c__candidate_division_WWE3_unclassified	o__candidate_division_WWE3_unclassified	f__candidate_division_WWE3_unclassified	g__candidate_division_WWE3_unclassified	s__candidate_division_WWE3_bacterium_RBG_16_37_10	t__SGB111	no	NA	NA
112	SGB112	k__Bacteria	p__candidate_division_WWE3	c__candidate_division_WWE3_unclassified	o__candidate_division_WWE3_unclassified	f__candidate_division_WWE3_unclassified	g__candidate_division_WWE3_unclassified	s__candidate_division_WWE3_bacterium_GW2011_GWB1_41_6	t__SGB112	no	NA	NA
114	SGB114	k__Bacteria	p__candidate_division_WWE3	c__candidate_division_WWE3_unclassified	o__candidate_division_WWE3_unclassified	f__candidate_division_WWE3_unclassified	g__candidate_division_WWE3_unclassified	s__candidate_division_WWE3_bacterium_RIFOXYC1_FULL_39_7	t__SGB114	no	NA	NA
115	SGB115	k__Bacteria	p__candidate_division_WWE3	c__candidate_division_WWE3_unclassified	o__candidate_division_WWE3_unclassified	f__candidate_division_WWE3_unclassified	g__candidate_division_WWE3_unclassified	s__candidate_division_WWE3_bacterium_GW2011_GWA1_43_94	t__SGB115	no	NA	NA
116	SGB116	k__Bacteria	p__candidate_division_WWE3	c__candidate_division_WWE3_unclassified	o__candidate_division_WWE3_unclassified	f__candidate_division_WWE3_unclassified	g__candidate_division_WWE3_unclassified	s__candidate_division_WWE3_bacterium_GW2011_GWA1_42_12	t__SGB116	no	NA	NA
117	SGB117	k__Bacteria	p__candidate_division_WWE3	c__candidate_division_WWE3_unclassified	o__candidate_division_WWE3_unclassified	f__candidate_division_WWE3_unclassified	g__candidate_division_WWE3_unclassified	s__candidate_division_WWE3_bacterium_RIFOXYA2_FULL_46_9	t__SGB117	no	NA	NA
119	SGB119	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Parcubacteria_group_bacterium_GW2011_GWA2_56_7	t__SGB119	no	NA	NA
120	SGB120	k__Bacteria	p__Candidatus_Uhrbacteria	c__Candidatus_Uhrbacteria_unclassified	o__Candidatus_Uhrbacteria_unclassified	f__Candidatus_Uhrbacteria_unclassified	g__Candidatus_Uhrbacteria_unclassified	s__Candidatus_Uhrbacteria_bacterium_RIFCSPLOWO2_02_FULL_49_11	t__SGB120	no	NA	NA
121	SGB121	k__Bacteria	p__Aquificae	c__CFGB69	o__OFGB69	f__FGB69	g__GGB102	s__GGB102_SGB121	t__SGB121	no	NA	NA
122	SGB122	k__Bacteria	p__Candidatus_Coatesbacteria	c__Candidatus_Coatesbacteria_unclassified	o__Candidatus_Coatesbacteria_unclassified	f__Candidatus_Coatesbacteria_unclassified	g__Candidatus_Coatesbacteria_unclassified	s__Candidatus_Coatesbacteria_bacterium_4484_99	t__SGB122	no	NA	NA
124	SGB124	k__Bacteria	p__Bacteroidetes	c__CFGB72	o__OFGB72	f__FGB72	g__GGB105	s__GGB105_SGB124	t__SGB124	no	NA	NA
125	SGB125	k__Bacteria	p__Firmicutes	c__CFGB73	o__OFGB73	f__FGB73	g__GGB106	s__GGB106_SGB125	t__SGB125	no	NA	NA
130	SGB130	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeum	s__Candidatus_Micrarchaeum_acidiphilum	t__SGB130	no	NA	NA
131	SGB131	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_Mia14	t__SGB131	no	NA	NA
133	SGB133	k__Bacteria	p__Chloroflexi	c__Chloroflexi_unclassified	o__Chloroflexi_unclassified	f__Chloroflexi_unclassified	g__Chloroflexi_unclassified	s__Chloroflexi_bacterium	t__SGB133	no	NA	NA
135	SGB135	k__Bacteria	p__Chloroflexi	c__Chloroflexi_unclassified	o__Chloroflexi_unclassified	f__Chloroflexi_unclassified	g__Chloroflexi_unclassified	s__Chloroflexi_bacterium	t__SGB135	no	NA	NA
